Column1,id,revelation_place,revelation_order,bismillah_pre,name_simple,name_complex,name_arabic,verses_count,chapter_number
83,83,makkah,86,TRUE,Al-Mutaffifin,Al-Mu?affif?n,????????,36,83
84,84,makkah,83,TRUE,Al-Inshiqaq,Al-'Inshiq?q,????????,25,84
85,85,makkah,27,TRUE,Al-Buruj,Al-Bur?j,??????,22,85
86,86,makkah,36,TRUE,At-Tariq,A?-??riq,??????,17,86
87,87,makkah,8,TRUE,Al-A'la,Al-'A`l?,??????,19,87
88,88,makkah,68,TRUE,Al-Ghashiyah,Al-Gh?shiyah,???????,26,88
89,89,makkah,10,TRUE,Al-Fajr,Al-Fajr,?????,30,89
90,90,makkah,35,TRUE,Al-Balad,Al-Balad,?????,20,90
91,91,makkah,26,TRUE,Ash-Shams,Ash-Shams,?????,15,91
92,92,makkah,9,TRUE,Al-Layl,Al-Layl,?????,21,92
93,93,makkah,11,TRUE,Ad-Duhaa,A?-?u?a?,?????,11,93
94,94,makkah,12,TRUE,Ash-Sharh,Ash-Shar?,?????,8,94
95,95,makkah,28,TRUE,At-Tin,At-T?n,?????,8,95
96,96,makkah,1,TRUE,Al-'Alaq,Al-`Alaq,?????,19,96
97,97,makkah,25,TRUE,Al-Qadr,Al-Qadr,?????,5,97
98,98,madinah,100,TRUE,Al-Bayyinah,Al-Bayyinah,??????,8,98
99,99,madinah,93,TRUE,Az-Zalzalah,Az-Zalzalah,???????,8,99
100,100,makkah,14,TRUE,Al-'Adiyat,Al-`?diy?t,????????,11,100
101,101,makkah,30,TRUE,Al-Qari'ah,Al-Q?ri`ah,???????,11,101
102,102,makkah,16,TRUE,At-Takathur,At-Tak?thur,???????,8,102
103,103,makkah,13,TRUE,Al-'Asr,Al-`A?r,?????,3,103
104,104,makkah,32,TRUE,Al-Humazah,Al-Humazah,??????,9,104
105,105,makkah,19,TRUE,Al-Fil,Al-F?l,?????,5,105
106,106,makkah,29,TRUE,Quraysh,Quraysh,????,4,106
107,107,makkah,17,TRUE,Al-Ma'un,Al-M?`?n,???????,7,107
108,108,makkah,15,TRUE,Al-Kawthar,Al-Kawthar,??????,3,108
109,109,makkah,18,TRUE,Al-Kafirun,Al-K?fir?n,????????,6,109
110,110,madinah,114,TRUE,An-Nasr,An-Na?r,?????,3,110
111,111,makkah,6,TRUE,Al-Masad,Al-Masad,?????,5,111
112,112,makkah,22,TRUE,Al-Ikhlas,Al-'Ikhl??,???????,4,112
113,113,makkah,20,TRUE,Al-Falaq,Al-Falaq,?????,5,113
114,114,makkah,21,TRUE,An-Nas,An-N?s,?????,6,114
